Gene Name,Canonical Transcript,GeVIR %,LOEUF %,VIRLoF %,GeVIR AD,LOEUF AD,VIRLoF AD,GeVIR AR,LOEUF AR,VIRLoF AR
SEC13,ENST00000350697,54.42,30.39,40.59,0.65,1.08,0.81,1.7,1.39,2.04
XDH,ENST00000379416,54.42,44.98,48.57,0.65,0.68,0.67,1.7,1.97,1.85
DIDO1,ENST00000266070,54.43,4.68,27.71,0.65,3.27,0.92,1.7,0.31,1.27
TMPRSS11E,ENST00000305363,54.43,51.19,52.03,0.65,0.66,0.62,1.7,1.91,1.94
GAN,ENST00000568107,54.44,25.23,38.11,0.65,1.3,0.86,1.7,1.02,2.02
TRAPPC2P1,ENST00000543226,54.44,90.71,75.53,0.65,0.25,0.37,1.71,0.35,0.66
BEND6,ENST00000370746,54.45,53.05,53.17,0.65,0.66,0.61,1.72,1.77,1.87
CENPJ,ENST00000381884,54.45,52.35,52.73,0.65,0.62,0.61,1.71,1.82,1.88
ITGA11,ENST00000315757,54.46,28.58,39.88,0.65,1.16,0.78,1.71,1.27,2.02
COX10,ENST00000261643,54.47,33.46,42.21,0.65,0.84,0.68,1.72,1.52,2.02
C10orf32,ENST00000339834,54.47,92.7,76.67,0.65,0.29,0.35,1.72,0.3,0.61
CASP7,ENST00000369321,54.48,48.03,50.29,0.65,0.63,0.65,1.71,2,1.92
TSPYL5,ENST00000322128,54.48,23.18,37.07,0.63,1.46,0.8,1.71,0.91,1.95
FMO2,ENST00000441535,54.49,59.18,56.63,0.63,0.49,0.52,1.72,1.44,1.72
ZNF628,ENST00000598519,54.49,16.4,33.61,0.63,1.81,0.9,1.72,0.69,1.72
GANC,ENST00000318010,54.5,66.1,60.92,0.63,0.54,0.43,1.72,1.2,1.58
SLC25A10,ENST00000331531,54.5,63.11,58.93,0.63,0.48,0.49,1.72,1.3,1.65
PSMG2,ENST00000317615,54.51,77.56,67.95,0.63,0.42,0.51,1.72,0.79,1.1
CNGA3,ENST00000393504,54.51,78.31,68.41,0.63,0.43,0.47,1.72,0.74,1.05
TFRC,ENST00000360110,54.52,28.53,39.86,0.63,1.15,0.78,1.71,1.27,2.02
SYNGR1,ENST00000328933,54.52,34.97,43.13,0.62,0.76,0.65,1.71,1.56,1.99
YL4,ENST00000354968,54.53,75.27,66.55,0.62,0.49,0.51,1.71,0.9,1.2
TXNDC15,ENST00000358387,54.53,39.63,45.79,0.62,0.68,0.68,1.71,1.65,1.98
CAMSAP1,ENST00000389532,54.54,8.59,29.75,0.62,2.52,0.86,1.71,0.47,1.42
OR5A1,ENST00000302030,54.54,84.5,72.17,0.62,0.29,0.43,1.71,0.43,0.82
LIPF,ENST00000394375,54.55,44.09,48.17,0.62,0.59,0.66,1.71,1.99,1.87
SERPING1,ENST00000278407,54.55,6.01,28.46,0.62,2.82,0.78,1.71,0.35,1.29
GSAP,ENST00000257626,54.56,54.32,53.9,0.62,0.62,0.61,1.71,1.68,1.77
FSD1,ENST00000415822,54.56,69.06,62.75,0.62,0.56,0.48,1.71,1.14,1.39
ANXA6,ENST00000354546,54.57,37.7,44.7,0.62,0.78,0.62,1.71,1.7,2.06
THFD2,ENST00000394053,54.57,45.83,49.12,0.62,0.73,0.72,1.71,2.01,1.84
TMEM242,ENST00000400788,54.58,81.5,70.34,0.62,0.33,0.43,1.71,0.54,0.9
DCAF16,ENST00000382247,54.58,77.13,67.71,0.62,0.42,0.52,1.71,0.78,1.12
UNG,ENST00000242576,54.59,46.46,49.47,0.62,0.73,0.68,1.71,2.02,1.83
IL17RE,ENST00000295980,54.59,40.74,46.35,0.62,0.63,0.67,1.71,1.78,1.89
KRT23,ENST00000209718,54.6,72.5,65,0.62,0.47,0.51,1.71,1.03,1.31
TACSTD2,ENST00000371225,54.6,80.31,69.67,0.62,0.37,0.44,1.71,0.58,0.95
PO,ENST00000225275,54.61,63.54,59.32,0.62,0.49,0.51,1.71,1.25,1.69
NBAS,ENST00000281513,54.61,40.7,46.35,0.63,0.63,0.67,1.71,1.77,1.9
CHMP1B,ENST00000526991,54.62,34.63,42.97,0.63,0.8,0.67,1.71,1.54,2
FANCM,ENST00000267430,54.63,30.36,40.65,0.63,1.08,0.81,1.71,1.4,2.05
DNTT,ENST00000371174,54.63,54.96,54.36,0.63,0.57,0.59,1.72,1.64,1.75
JAGN1,ENST00000307768,54.64,72.41,64.97,0.63,0.51,0.51,1.72,1.03,1.32
CPA2,ENST00000222481,54.64,74.76,66.42,0.63,0.54,0.52,1.72,0.96,1.21
ARHGAP22,ENST00000417912,54.65,47.51,50.07,0.63,0.62,0.62,1.72,2.01,1.92
T2A,ENST00000245185,54.65,96.52,78.82,0.63,0.22,0.39,1.72,0.19,0.52
ZWILCH,ENST00000307897,54.66,55.42,54.61,0.63,0.58,0.56,1.72,1.6,1.74
LRCH3,ENST00000334859,54.66,42.64,47.41,0.63,0.59,0.65,1.72,1.9,1.87
PIPOX,ENST00000323372,54.67,69.52,63.19,0.63,0.54,0.49,1.72,1.11,1.36
SAMD9,ENST00000379958,54.67,69.1,62.87,0.63,0.56,0.51,1.72,1.14,1.4
PSMB10,ENST00000358514,54.68,77.23,67.87,0.63,0.43,0.51,1.72,0.78,1.12
TK2,ENST00000451102,54.68,63.84,59.57,0.63,0.49,0.49,1.72,1.21,1.69
ADRB3,ENST00000345060,54.69,85.32,72.68,0.63,0.25,0.43,1.72,0.45,0.81
GORAB,ENST00000367763,54.69,53.02,53.3,0.63,0.66,0.62,1.72,1.77,1.85
RRAGB,ENST00000262850,54.7,22.55,36.81,0.63,1.48,0.82,1.72,0.84,1.94
PIR,ENST00000380421,54.7,87.56,73.91,0.63,0.23,0.4,1.72,0.37,0.7
TIGD6,ENST00000296736,54.71,68.93,62.77,0.63,0.54,0.48,1.72,1.17,1.39
TGFA,ENST00000295400,54.71,27.91,39.67,0.63,1.19,0.8,1.73,1.19,2.04
CCKAR,ENST00000295589,54.72,48.45,50.62,0.63,0.63,0.66,1.73,2.02,1.85
KCTD11,ENST00000333751,54.72,81.26,70.26,0.63,0.34,0.43,1.73,0.54,0.91
SERPINA11,ENST00000334708,54.73,82.56,71.06,0.63,0.34,0.43,1.73,0.51,0.86
FAM175A,ENST00000321945,54.73,58.32,56.3,0.63,0.54,0.49,1.73,1.42,1.75
ENPP3,ENST00000414305,54.74,57.06,55.59,0.63,0.56,0.53,1.73,1.52,1.75
DPT,ENST00000367817,54.74,65.99,60.98,0.63,0.56,0.43,1.73,1.22,1.58
AP3S2,ENST00000336418,54.75,77.25,67.89,0.63,0.42,0.51,1.72,0.78,1.11
C5orf28,ENST00000500337,54.75,93.25,77.16,0.63,0.28,0.35,1.72,0.3,0.59
PCDHGA10,ENST00000398610,54.76,42.62,47.44,0.63,0.59,0.63,1.72,1.9,1.87
RSG1,ENST00000375599,54.76,81.48,70.44,0.63,0.33,0.43,1.72,0.54,0.91
WDR81,ENST00000409644,54.77,27.02,39.27,0.63,1.23,0.8,1.72,1.12,2.04
SYPL2,ENST00000369872,54.78,66.67,61.39,0.63,0.56,0.44,1.72,1.22,1.48
CD302,ENST00000259053,54.78,79.04,68.94,0.63,0.4,0.46,1.72,0.7,1.04
ANKRD39,ENST00000393537,54.79,64.77,60.21,0.63,0.48,0.48,1.72,1.24,1.6
DCSTAMP,ENST00000297581,54.79,63.21,59.19,0.63,0.47,0.49,1.72,1.31,1.68
ZFHX2,ENST00000419474,54.8,11.65,31.44,0.63,2.09,0.87,1.72,0.57,1.56
LYSMD1,ENST00000368908,54.8,57.9,56.07,0.63,0.57,0.49,1.72,1.47,1.75
IL31RA,ENST00000447346,54.81,53.86,53.74,0.63,0.63,0.62,1.72,1.7,1.8
HACL1,ENST00000321169,54.81,56.46,55.21,0.63,0.52,0.51,1.72,1.54,1.75
LDLRAP1,ENST00000374338,54.82,63.17,59.2,0.63,0.47,0.49,1.72,1.31,1.68
JDP2,ENST00000267569,54.82,37.42,44.68,0.63,0.75,0.62,1.72,1.66,2.06
SLC25A35,ENST00000380067,54.83,74.31,66.24,0.63,0.53,0.52,1.72,1.01,1.2
TMUB2,ENST00000587989,54.83,80.81,70.06,0.63,0.35,0.47,1.72,0.57,0.91
FAT1,ENST00000441802,54.84,19.17,35.18,0.63,1.49,0.86,1.72,0.76,1.75
OR9A2,ENST00000350513,54.84,79.82,69.5,0.63,0.35,0.44,1.72,0.62,0.97
LAT,ENST00000395461,54.85,33.3,42.35,0.65,0.84,0.7,1.72,1.51,2.02
ELMO3,ENST00000393997,54.85,53.56,53.64,0.65,0.63,0.63,1.71,1.7,1.81
HFE,ENST00000357618,54.86,64.91,60.35,0.65,0.48,0.46,1.71,1.25,1.58
ZNF804B,ENST00000333190,54.86,54.09,53.95,0.65,0.65,0.61,1.71,1.68,1.77
NOP9,ENST00000267425,54.87,58.23,56.31,0.63,0.54,0.49,1.71,1.43,1.75
RHBDD1,ENST00000392062,54.87,85.76,73.05,0.63,0.27,0.42,1.71,0.44,0.8
NOL9,ENST00000377705,54.88,28.22,39.89,0.63,1.19,0.78,1.72,1.22,2.02
ZFYVE28,ENST00000290974,54.88,22.26,36.73,0.63,1.53,0.82,1.71,0.82,1.94
ABCC3,ENST00000285238,54.89,49.29,51.15,0.63,0.65,0.65,1.71,2.02,1.9
SLC45A4,ENST00000024061,54.89,36.94,44.42,0.63,0.75,0.61,1.71,1.7,2.04
FAM196A,ENST00000522781,54.9,16.35,33.79,0.63,1.78,0.89,1.7,0.69,1.74
BSCL2,ENST00000433053,54.9,56.02,55.03,0.63,0.49,0.51,1.7,1.56,1.73
THSD1,ENST00000258613,54.91,46.4,49.58,0.63,0.73,0.67,1.7,2.04,1.84
CLIC5,ENST00000185206,54.91,67.05,61.7,0.63,0.54,0.46,1.7,1.24,1.46
IGDCC4,ENST00000352385,54.92,29.07,40.25,0.63,1.13,0.81,1.7,1.32,2
KRT12,ENST00000251643,54.92,71,64.25,0.63,0.49,0.51,1.7,1.07,1.35
SNTB1,ENST00000395601,54.93,35.74,43.71,0.63,0.78,0.61,1.7,1.58,2.01
HYAL1,ENST00000266031,54.94,57.27,55.79,0.63,0.56,0.52,1.7,1.49,1.73
LRRC40,ENST00000370952,54.94,77.24,68.04,0.63,0.43,0.51,1.7,0.78,1.1
COL6A3,ENST00000295550,54.95,28.39,40.02,0.63,1.16,0.82,1.7,1.22,1.99
ESRRA,ENST00000405666,54.95,25.36,38.44,0.63,1.27,0.84,1.7,1.03,2.04
PSMB9,ENST00000374859,54.96,58.2,56.35,0.63,0.54,0.49,1.7,1.44,1.75
RBAK-RBAKDN,ENST00000396904,54.96,42.73,47.65,0.63,0.62,0.65,1.7,1.92,1.88
GNG10,ENST00000374293,54.97,96.44,79,0.63,0.22,0.39,1.69,0.19,0.53
CERS3,ENST00000284382,54.97,31.98,41.71,0.63,0.92,0.72,1.68,1.48,2.01
TXNDC16,ENST00000281741,54.98,33.35,42.4,0.62,0.85,0.68,1.68,1.51,2.01
EVI2B,ENST00000330927,54.98,39.06,45.71,0.62,0.7,0.67,1.68,1.63,1.99
SSMEM1,ENST00000297819,54.99,96.15,78.78,0.62,0.21,0.39,1.69,0.2,0.52
SYDE2,ENST00000341460,54.99,54.9,54.5,0.62,0.57,0.57,1.68,1.62,1.75
RSPH4A,ENST00000229554,55,50.59,52,0.62,0.63,0.62,1.68,1.94,1.93
RASSF1,ENST00000357043,55,69.09,63.14,0.62,0.56,0.49,1.68,1.14,1.38
CEP57L1,ENST00000407272,55.01,51.6,52.6,0.62,0.62,0.61,1.69,1.87,1.89
CHKB,ENST00000406938,55.01,50.58,52.02,0.62,0.63,0.62,1.69,1.94,1.94
SPINK5,ENST00000359874,55.02,49.95,51.64,0.62,0.66,0.62,1.7,2.02,1.92
GOLGA2,ENST00000421699,55.02,12.72,32.06,0.62,2.09,0.9,1.7,0.59,1.6
NARF,ENST00000309794,55.03,67.99,62.34,0.62,0.52,0.48,1.69,1.19,1.41
BSX,ENST00000343035,55.03,64.15,60.02,0.62,0.49,0.48,1.69,1.21,1.62
PLIN2,ENST00000276914,55.04,70.51,64.04,0.62,0.52,0.53,1.69,1.08,1.39
SRBD1,ENST00000263736,55.04,53.53,53.71,0.62,0.65,0.62,1.69,1.7,1.81
KIRREL2,ENST00000360202,55.05,47.41,50.26,0.62,0.66,0.65,1.69,2.01,1.92
ATK,ENST00000395045,55.05,40.76,46.59,0.62,0.62,0.66,1.68,1.78,1.89
TMEM260,ENST00000261556,55.06,62.74,59.04,0.62,0.51,0.49,1.68,1.31,1.66
BDH1,ENST00000392379,55.06,78.26,68.67,0.62,0.43,0.47,1.68,0.74,1.05
NOD2,ENST00000300589,55.07,74.61,66.5,0.62,0.53,0.51,1.69,0.99,1.21
UBXN2A,ENST00000309033,55.07,75.98,67.33,0.62,0.43,0.52,1.69,0.86,1.15
RPS21,ENST00000369084,55.08,81.83,70.79,0.62,0.35,0.43,1.7,0.51,0.86
YL9,ENST00000279022,55.08,80.55,70.06,0.62,0.37,0.47,1.7,0.58,0.91
IGFBP4,ENST00000269593,55.09,53.72,53.86,0.62,0.63,0.61,1.69,1.7,1.78
SLC39A5,ENST00000266980,55.1,64.88,60.52,0.62,0.48,0.44,1.7,1.24,1.58
ETTL21A,ENST00000411432,55.1,74.3,66.4,0.62,0.53,0.52,1.7,1.01,1.2
DOCK6,ENST00000294618,55.11,37.74,45.09,0.62,0.8,0.7,1.7,1.7,2.02
FAM160B2,ENST00000289921,55.11,40.15,46.28,0.62,0.62,0.67,1.7,1.72,1.92
HYKK,ENST00000388988,55.12,62.15,58.73,0.62,0.53,0.52,1.7,1.35,1.65
RGS16,ENST00000367558,55.12,82.26,71.17,0.62,0.34,0.44,1.7,0.52,0.86
SEMA4A,ENST00000368285,55.13,33.39,42.51,0.62,0.84,0.68,1.7,1.51,2.01
ACOT12,ENST00000307624,55.13,57.96,56.3,0.62,0.56,0.49,1.69,1.46,1.75
GHITM,ENST00000372134,55.14,33.97,42.88,0.62,0.84,0.67,1.69,1.55,1.99
LYZL6,ENST00000585556,55.14,85.52,73.08,0.62,0.27,0.42,1.7,0.44,0.8
ALG2,ENST00000476832,55.15,65.92,61.14,0.62,0.54,0.43,1.7,1.24,1.51
GTDC1,ENST00000392869,55.15,70.77,64.24,0.62,0.48,0.51,1.69,1.08,1.35
TMCO5A,ENST00000319669,55.16,56.28,55.36,0.62,0.52,0.49,1.69,1.55,1.73
CUTA,ENST00000374500,55.16,85.25,72.96,0.62,0.25,0.4,1.68,0.46,0.81
ITIH2,ENST00000358415,55.17,58.41,56.6,0.62,0.54,0.52,1.69,1.4,1.71
GXYLT2,ENST00000389617,55.17,82.18,71.14,0.62,0.34,0.43,1.69,0.52,0.87
FN3KRP,ENST00000269373,55.18,80.95,70.37,0.61,0.35,0.43,1.69,0.57,0.91
DEPTOR,ENST00000286234,55.18,76.31,67.55,0.61,0.43,0.51,1.69,0.86,1.12
COL24A1,ENST00000370571,55.19,49.56,51.52,0.61,0.66,0.62,1.69,2.02,1.92
ADAM21,ENST00000603540,55.19,78.31,68.77,0.61,0.43,0.46,1.69,0.74,1.05
RBKS,ENST00000302188,55.2,78.16,68.69,0.61,0.43,0.47,1.69,0.73,1.05
PNPLA2,ENST00000336615,55.2,40.11,46.36,0.61,0.63,0.67,1.69,1.71,1.89
CCR1,ENST00000296140,55.21,38.6,45.63,0.61,0.73,0.68,1.69,1.66,1.98
ACP1,ENST00000272067,55.21,89.59,75.31,0.61,0.27,0.37,1.68,0.37,0.65
RPS10,ENST00000053468,55.22,84.23,72.42,0.61,0.27,0.44,1.69,0.44,0.83
PSMG1,ENST00000331573,55.22,47.87,50.57,0.61,0.59,0.67,1.69,1.97,1.86
COX4I1,ENST00000562336,55.23,36.75,44.52,0.61,0.76,0.62,1.69,1.66,2.04
HDDC2,ENST00000398153,55.23,66.45,61.55,0.61,0.56,0.46,1.69,1.2,1.48
FBP2,ENST00000375337,55.24,54.1,54.18,0.61,0.65,0.61,1.69,1.68,1.73
MAB,ENST00000545712,55.25,47.27,50.27,0.61,0.66,0.65,1.69,2.01,1.92
RAD52,ENST00000358495,55.25,60.76,58.07,0.61,0.56,0.47,1.68,1.39,1.66
GIP,ENST00000357424,55.26,42.68,47.83,0.61,0.61,0.65,1.68,1.91,1.89
KIAA0101,ENST00000300035,55.26,54.75,54.58,0.61,0.58,0.56,1.68,1.63,1.73
TYW1,ENST00000359626,55.27,40.02,46.31,0.61,0.63,0.67,1.68,1.68,1.91
CFD2,ENST00000409105,55.27,69.84,63.82,0.61,0.54,0.49,1.68,1.14,1.38
RGS22,ENST00000360863,55.28,53.29,53.69,0.61,0.66,0.62,1.68,1.72,1.8
GPBAR1,ENST00000522678,55.28,96.58,79.25,0.61,0.23,0.38,1.68,0.19,0.54
FDXACB1,ENST00000260257,55.29,64.77,60.59,0.61,0.48,0.44,1.68,1.24,1.58
SLC27A2,ENST00000267842,55.29,51.89,52.98,0.61,0.59,0.61,1.68,1.85,1.88
RPL11,ENST00000310999,55.3,92.79,77.21,0.61,0.29,0.35,1.68,0.3,0.59
GIPC3,ENST00000322315,55.3,50.29,52.01,0.61,0.66,0.61,1.68,1.97,1.94
WRAP53,ENST00000316024,55.31,37.87,45.3,0.61,0.8,0.71,1.68,1.7,2.01
CPLX2,ENST00000359546,55.31,39.04,45.88,0.61,0.7,0.7,1.68,1.64,1.97
EXO1,ENST00000366548,55.32,50.34,52.07,0.61,0.66,0.61,1.68,1.97,1.93
HMMR,ENST00000393915,55.32,62.02,58.78,0.61,0.56,0.51,1.68,1.37,1.64
FAM189B,ENST00000361361,55.33,41.08,46.95,0.61,0.59,0.7,1.68,1.81,1.86
REN,ENST00000272190,55.33,53.49,53.88,0.61,0.65,0.61,1.68,1.71,1.78
C11orf65,ENST00000393084,55.34,88.3,74.72,0.61,0.23,0.4,1.68,0.38,0.67
EGFL6,ENST00000380602,55.34,69.13,63.39,0.61,0.56,0.49,1.68,1.12,1.37
BFSP2,ENST00000302334,55.35,53.47,53.85,0.61,0.65,0.62,1.68,1.72,1.78
FOXRED2,ENST00000397224,55.35,32.74,42.29,0.61,0.84,0.7,1.68,1.44,2.01
CYP27C1,ENST00000335247,55.36,59.22,57.19,0.61,0.49,0.52,1.68,1.44,1.69
PPAPDC2,ENST00000381883,55.36,86.82,73.88,0.61,0.23,0.42,1.68,0.4,0.7
ECR,ENST00000263702,55.37,45.13,49.16,0.61,0.7,0.73,1.68,1.96,1.84
OR8B4,ENST00000356130,55.37,71.65,64.96,0.61,0.53,0.51,1.67,1.07,1.32
FBLIM1,ENST00000441801,55.38,68.25,62.76,0.61,0.52,0.48,1.67,1.21,1.39
TOLLIP,ENST00000317204,55.38,38.13,45.47,0.61,0.77,0.7,1.66,1.71,1.98
CRABP2,ENST00000368222,55.39,78.05,68.74,0.61,0.42,0.46,1.66,0.76,1.05
SH3BGR,ENST00000333634,55.39,55.8,55.2,0.61,0.52,0.51,1.66,1.58,1.75
HEMK1,ENST00000232854,55.4,58.1,56.56,0.61,0.53,0.52,1.66,1.46,1.7
OR4D6,ENST00000300127,55.41,79.6,69.71,0.61,0.38,0.44,1.66,0.66,0.94
CRIPT,ENST00000238892,55.41,82.44,71.43,0.61,0.34,0.46,1.67,0.52,0.87
COMMD3,ENST00000376836,55.42,62.52,59.15,0.61,0.53,0.49,1.66,1.31,1.68
MP19,ENST00000322569,55.42,78.27,68.88,0.61,0.43,0.46,1.66,0.74,1.04
TOMM7,ENST00000358435,55.43,88.9,75.09,0.61,0.25,0.39,1.66,0.35,0.67
SLC6A13,ENST00000343164,55.43,55.21,54.9,0.61,0.57,0.51,1.65,1.62,1.74
CPA6,ENST00000297770,55.44,67.6,62.36,0.61,0.53,0.48,1.65,1.19,1.41
SMCO3,ENST00000316048,55.44,83.23,71.95,0.61,0.28,0.43,1.66,0.47,0.81
PFKFB1,ENST00000375006,55.45,54.18,54.36,0.61,0.62,0.59,1.66,1.69,1.75
ARMC2,ENST00000392644,55.45,42.76,47.95,0.61,0.62,0.67,1.66,1.92,1.88
ACAD9,ENST00000308982,55.46,46.21,49.78,0.61,0.73,0.65,1.65,2.04,1.87
APPL2,ENST00000551662,55.46,60.51,58.05,0.61,0.52,0.47,1.65,1.41,1.66
PRR15L,ENST00000300557,55.47,75.39,67.2,0.61,0.46,0.52,1.66,0.89,1.16
STK33,ENST00000447869,55.47,43.21,48.21,0.61,0.62,0.66,1.65,1.92,1.87
TVP23C-CDRT4,ENST00000522212,55.48,74.67,66.79,0.61,0.54,0.53,1.65,0.97,1.2
ON1B,ENST00000248248,55.48,31.53,41.72,0.61,0.96,0.72,1.65,1.42,2.01
EOGT,ENST00000295571,55.49,54.45,54.52,0.61,0.61,0.57,1.65,1.66,1.75
F13B,ENST00000367412,55.49,44.41,48.86,0.61,0.61,0.71,1.66,1.97,1.85
LRRC46,ENST00000269025,55.5,50.43,52.19,0.61,0.65,0.61,1.66,1.95,1.89
ARC2,ENST00000366913,55.5,56.23,55.53,0.61,0.52,0.52,1.66,1.56,1.74
LYG1,ENST00000409448,55.51,73.83,66.37,0.61,0.53,0.53,1.66,1.02,1.2
TRPV3,ENST00000301365,55.51,64.54,60.57,0.61,0.47,0.44,1.66,1.22,1.58
KRT36,ENST00000328119,55.52,75.34,67.2,0.61,0.48,0.52,1.66,0.9,1.16
CYP2U1,ENST00000332884,55.52,37.96,45.46,0.61,0.78,0.7,1.66,1.7,1.98
PADI2,ENST00000375486,55.53,45.02,49.19,0.61,0.68,0.72,1.66,1.97,1.84
NHLRC1,ENST00000340650,55.53,51.98,53.2,0.61,0.61,0.61,1.66,1.85,1.88
RPL3,ENST00000264995,55.54,74.22,66.53,0.61,0.53,0.51,1.66,1.02,1.21
CC,ENST00000408903,55.54,44.31,48.84,0.61,0.61,0.7,1.66,1.95,1.85
GLIPR2,ENST00000377960,55.55,84.89,72.98,0.61,0.27,0.4,1.66,0.44,0.8
PCSK9,ENST00000302118,55.55,74.25,66.57,0.61,0.53,0.52,1.66,1.02,1.21
CERKL,ENST00000339098,55.56,79.05,69.46,0.61,0.4,0.44,1.66,0.7,0.98
SMAGP,ENST00000603798,55.57,71.87,65.17,0.61,0.51,0.52,1.66,1.07,1.31
NOTCH4,ENST00000375023,55.57,39.32,46.16,0.61,0.7,0.67,1.66,1.64,1.97
SLC25A40,ENST00000341119,55.58,57.91,56.55,0.61,0.57,0.52,1.66,1.46,1.7
COL16A1,ENST00000373672,55.58,33.21,42.7,0.61,0.82,0.68,1.66,1.5,2.02
RTTN,ENST00000255674,55.59,38.21,45.6,0.61,0.77,0.68,1.65,1.7,1.98
OR6C75,ENST00000343399,55.59,80.52,70.35,0.61,0.37,0.43,1.65,0.59,0.9
GALR2,ENST00000329003,55.6,85.21,73.13,0.61,0.25,0.42,1.65,0.45,0.79
AC007431.1,ENST00000299415,55.6,43.43,48.39,0.61,0.61,0.67,1.65,1.95,1.88
FMO4,ENST00000367749,55.61,64.88,60.85,0.61,0.48,0.43,1.65,1.24,1.6
ALDH4A1,ENST00000375341,55.61,37.99,45.51,0.61,0.77,0.7,1.65,1.71,1.97
CABLES2,ENST00000279101,55.62,46.62,50.12,0.59,0.75,0.63,1.65,1.99,1.9
C20orf26,ENST00000245957,55.62,38.05,45.53,0.59,0.77,0.7,1.65,1.7,1.97
DDX59,ENST00000331314,55.63,47.6,50.66,0.59,0.61,0.66,1.65,2,1.85
RBP1,ENST00000232219,55.63,83.24,72.05,0.59,0.28,0.43,1.65,0.47,0.81
YOC,ENST00000037502,55.64,68.42,63.1,0.59,0.52,0.49,1.65,1.21,1.39
OCS1,ENST00000373186,55.64,58.04,56.66,0.59,0.53,0.52,1.65,1.45,1.71
OV10L1,ENST00000262794,55.65,41.46,47.3,0.59,0.62,0.66,1.65,1.82,1.87
PHKG1,ENST00000452681,55.65,69.2,63.63,0.59,0.56,0.49,1.65,1.13,1.39
FHAS1,ENST00000276282,55.66,43.7,48.57,0.59,0.62,0.67,1.66,1.96,1.85
ZNF276,ENST00000443381,55.66,42.07,47.68,0.59,0.61,0.66,1.66,1.85,1.88
VAT1L,ENST00000302536,55.67,60.38,58.08,0.59,0.53,0.47,1.66,1.41,1.65
TMIE,ENST00000326431,55.67,89.93,75.8,0.59,0.25,0.38,1.66,0.37,0.63
ED9,ENST00000268711,55.68,50.31,52.24,0.59,0.66,0.59,1.66,1.96,1.9
TRAPPC13,ENST00000438419,55.68,37.62,45.36,0.59,0.78,0.7,1.66,1.71,2
SYCP2L,ENST00000283141,55.69,53.94,54.37,0.59,0.65,0.58,1.66,1.7,1.75
CLDN16,ENST00000264734,55.69,40.44,46.8,0.59,0.62,0.67,1.66,1.77,1.87
DPH1,ENST00000263083,55.7,71.95,65.3,0.59,0.51,0.53,1.66,1.07,1.31
APOA2,ENST00000367990,55.7,86.06,73.69,0.59,0.27,0.42,1.66,0.43,0.71
OTP,ENST00000306422,55.71,14.85,33.41,0.59,1.92,0.87,1.65,0.62,1.71
VAMP8,ENST00000263864,55.72,67.07,62.21,0.59,0.54,0.48,1.65,1.23,1.44
FOXD1,ENST00000499003,55.72,43.89,48.68,0.59,0.61,0.68,1.65,1.96,1.85
CTRL,ENST00000574481,55.73,81.52,71.03,0.59,0.33,0.43,1.64,0.53,0.85
PHOSPH10,ENST00000244230,55.73,16.58,34.39,0.58,1.77,0.9,1.64,0.71,1.77
ARNTL2,ENST00000266503,55.74,47.27,50.53,0.58,0.66,0.67,1.63,2.01,1.86
SLC37A2,ENST00000308074,55.74,63.25,59.91,0.58,0.47,0.49,1.64,1.31,1.63
SUN2,ENST00000405018,55.75,32.69,42.49,0.58,0.85,0.68,1.64,1.45,2
KRT15,ENST00000254043,55.75,81.18,70.81,0.58,0.35,0.43,1.64,0.55,0.87
ACCS,ENST00000263776,55.76,44.63,49.11,0.58,0.66,0.72,1.64,1.97,1.83
CCDC181,ENST00000545005,55.76,57.72,56.55,0.58,0.57,0.52,1.64,1.46,1.7
RPS6KL1,ENST00000555647,55.77,46.67,50.24,0.58,0.75,0.65,1.64,1.97,1.91
P2RY14,ENST00000309170,55.77,65.34,61.21,0.58,0.52,0.43,1.63,1.25,1.49
TIMM10B,ENST00000254616,55.78,94.82,78.52,0.58,0.23,0.38,1.63,0.24,0.55
PCSK6,ENST00000348070,55.78,38.04,45.64,0.58,0.77,0.68,1.63,1.71,1.98
SLC5A9,ENST00000236495,55.79,75.51,67.43,0.58,0.44,0.52,1.63,0.9,1.14
C6,ENST00000263413,55.79,52.84,53.73,0.58,0.65,0.62,1.63,1.8,1.8
LANCL1,ENST00000443314,55.8,69.44,63.9,0.58,0.54,0.51,1.63,1.13,1.38
ZNF345,ENST00000529555,55.8,77.91,68.91,0.58,0.42,0.46,1.62,0.79,1.04
PDZD9,ENST00000537222,55.81,71.15,64.92,0.58,0.51,0.51,1.63,1.06,1.33
USTN1,ENST00000446157,55.81,89.89,75.87,0.58,0.25,0.38,1.63,0.37,0.63
SLC5A11,ENST00000347898,55.82,59.6,57.7,0.58,0.52,0.49,1.63,1.41,1.67
PNLIP,ENST00000369221,55.82,53.55,54.21,0.58,0.63,0.59,1.63,1.7,1.75
FRMD4B,ENST00000398540,55.83,16.17,34.28,0.58,1.81,0.87,1.63,0.69,1.76
OCS3,ENST00000244051,55.83,81.42,71.03,0.58,0.33,0.43,1.63,0.55,0.86
SLC10A4,ENST00000273861,55.84,50.06,52.18,0.57,0.66,0.61,1.63,1.99,1.9
HKDC1,ENST00000354624,55.84,49.09,51.62,0.57,0.66,0.62,1.63,2.04,1.92
NDUFB1,ENST00000329559,55.85,93.17,77.71,0.57,0.28,0.38,1.63,0.3,0.55
COMMD6,ENST00000355801,55.85,55.32,55.18,0.57,0.57,0.51,1.63,1.61,1.75
